  ,C16:0,C16:1w9,C16:1w7,C17:0,C17:1w8,C18:0,C18:1w9,C18:1w7,C18:2w6,C18:3w3,C20:0,C20:1w9,C22:0,C24:0,Squalene 
VB15 ,12.66,0.11,1.15,0.1,0.21,1.93,69.36,2.93,10.16,0.65,0.34,0.23,0.11,0.06,0.83 
VB16 ,14.3,0.11,1.16,0.06,0.11,2.73,65.32,2.45,12.34,0.55,0.45,0.24,0.13,0.05,0.67 
VB25 ,12.55,0.14,0.97,0.12,0.21,2.44,68.95,2.43,10.67,0.65,0.42,0.27,0.12,0.06,0.85 
VB27 ,13.58,0.12,1.01,0.07,0.11,2.56,64.7,2.42,13.7,0.59,0.42,0.24,0.12,0.06,0.67 
VB28 ,13.8,0.12,1.09,0.09,0.16,2.47,66.26,2.53,12.06,0.58,0.41,0.25,0.12,0.06,0.6 
VB29 ,13.6,0.13,1.12,0.07,0.13,2.44,66.05,2.56,12.41,0.63,0.43,0.25,0.13,0.05,0.72 
VB30 ,13.48,0.13,0.98,0.08,0.12,2.54,65.93,2.38,12.85,0.63,0.44,0.26,0.12,0.06,0.68 
VB31 ,14.77,0.12,1.11,0.1,0.17,2.63,64.92,2.49,12.14,0.67,0.44,0.25,0.12,0.07,0.91 
VB32 ,14.61,0.11,1.24,0.11,0.2,2.49,66.2,2.69,10.9,0.59,0.42,0.25,0.13,0.06,0.76 
VB33 ,14.49,0.12,1.1,0.11,0.19,2.6,66.2,2.51,11.11,0.67,0.44,0.26,0.13,0.07,0.74 
VB34 ,15.11,0.12,1.15,0.08,0.14,2.59,63.95,2.55,12.81,0.61,0.44,0.25,0.14,0.06,0.66 
VB35 ,13.95,0.12,1.1,0.12,0.21,2.57,68.1,2.5,9.77,0.67,0.43,0.27,0.13,0.06,0.79 
VB36 ,14.74,0.12,1.16,0.1,0.19,2.62,65.05,2.59,11.92,0.63,0.44,0.25,0.13,0.06,0.73 
